onset	duration	nwb_table	si_perf	blr_perf
0.0	37.136	trials	1.23875	0.71428573
38.192	60.4	trials	1.23875	0.75
99.648	72.792	trials	1.23875	0.75
173.504	59.232	trials	1.23875	0.5625
233.76	132.40000000000003	trials	1.23875	0.7
367.232	50.60799999999995	trials	1.23875	0.7
418.912	87.29600000000005	trials	1.23875	0.84615386
507.256	205.39200000000005	trials	1.23875	0.7
713.736	44.34400000000005	trials	1.23875	0.875
759.136	77.35200000000009	trials	1.23875	1.0
837.512	75.21600000000001	trials	1.23875	0.64285713
913.808	64.32799999999997	trials	1.23875	0.72727275
979.192	49.34400000000005	trials	1.23875	0.9
1029.592	86.88799999999992	trials	1.23875	0.71428573
1117.544	52.42399999999998	trials	1.23875	0.7777778
