onset	duration	nwb_table	si_perf	blr_perf
0.0	192.248	trials	0.959736	0.1764706
193.296	178.76800000000003	trials	0.959736	0.17857143
373.12	88.88799999999998	trials	0.959736	0.47058824
463.032	116.28000000000003	trials	0.959736	0.23076923
580.392	96.11999999999989	trials	0.959736	0.41666666
677.568	103.88800000000003	trials	0.959736	0.75
782.504	117.24799999999993	trials	0.959736	0.5
900.8	104.26400000000001	trials	0.959736	0.72727275
1006.152	76.61599999999999	trials	0.959736	0.45
1083.824	67.83199999999988	trials	0.959736	0.5
